Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Josh Allen","QB","1","1","1","","1"
"Jayden Daniels","QB","2","2","1","","1"
"Lamar Jackson","QB","3","3","1","","1"
"Ja'Marr Chase","WR","4","1","1","","1"
"Jalen Hurts","QB","5","4","1","","1"
"Joe Burrow","QB","6","5","1","","1"
"Justin Jefferson","WR","7","2","1","","1"
"Brock Bowers","TE","8","1","1","","1"
"Patrick Mahomes","QB","9","6","1","","1"
"Bijan Robinson","RB","10","1","1","","1"
"Jahmyr Gibbs","RB","11","2","1","","1"
"Malik Nabers","WR","12","3","1","","1"
"CeeDee Lamb","WR","13","4","1","","1"
"Ashton Jeanty","RB","14","3","1","","1"
"Justin Herbert","QB","15","7","1","","1"
"Amon-Ra St. Brown","WR","16","5","1","","1"
"C.J. Stroud","QB","17","8","1","","1"
"Brian Thomas","WR","18","6","1","","1"
"Puka Nacua","WR","19","7","1","","1"
"Caleb Williams","QB","20","9","1","","1"
"Drake Maye","QB","21","10","1","","1"
"Trey McBride","TE","22","2","1","","1"
"Nico Collins","WR","23","8","1","","1"
"Saquon Barkley","RB","24","4","1","","1"
"Jordan Love","QB","25","11","1","","1"
"Drake London","WR","26","9","1","","1"
"Bo Nix","QB","27","12","1","","1"
"Cam Ward","QB","28","13","1","","1"
"Ladd McConkey","WR","29","10","1","","1"
"Kyler Murray","QB","30","14","1","","1"
"Marvin Harrison","WR","31","11","1","","1"
"De'Von Achane","RB","32","5","1","","1"
"Omarion Hampton","RB","33","6","1","","1"
"Garrett Wilson","WR","34","12","1","","1"
"Tetairoa McMillan","WR","35","13","1","","1"
"Jaxon Smith-Njigba","WR","36","14","1","","1"
"Travis Hunter","WR","37","15","1","","1"
"A.J. Brown","WR","38","16","1","","1"
"Bucky Irving","RB","39","7","1","","1"
"Breece Hall","RB","40","8","1","","1"
"Brock Purdy","QB","41","15","1","","1"
"Rashee Rice","WR","42","17","1","","1"
"Sam LaPorta","TE","43","3","1","","1"
"Baker Mayfield","QB","44","16","1","","1"
"Jonathan Taylor","RB","45","9","1","","1"
"Trevor Lawrence","QB","46","17","1","","1"
"TreVeyon Henderson","RB","47","10","1","","1"
"Kyren Williams","RB","48","11","1","","1"
"Tee Higgins","WR","49","18","1","","1"
"James Cook","RB","50","12","1","","1"
"Quinshon Judkins","RB","51","13","1","","1"
"Josh Jacobs","RB","52","14","1","","1"
"J.J. McCarthy","QB","53","18","1","","1"
"Rome Odunze","WR","54","19","1","","1"
"Christian McCaffrey","RB","55","15","1","","1"
"Jared Goff","QB","56","19","1","","1"
"DeVonta Smith","WR","57","20","1","","1"
"Chase Brown","RB","58","16","1","","1"
"Bryce Young","QB","59","20","1","","1"
"Chris Olave","WR","60","21","1","","1"
"Dak Prescott","QB","61","21","1","","1"
"Xavier Worthy","WR","62","22","1","","1"
"Zay Flowers","WR","63","23","1","","1"
"Emeka Egbuka","WR","64","24","1","","1"
"DJ Moore","WR","65","25","1","","1"
