Rank,Player
1,Christian McCaffrey
2,Tyreek Hill
3,CeeDee Lamb
4,Justin Jefferson
5,Ja'Marr Chase
6,Bijan Robinson
7,Amon-Ra St. Brown
8,Breece Hall
9,A.J. Brown
10,Jahmyr Gibbs
11,Jonathan Taylor
12,Saquon Barkley
13,Garrett Wilson
14,Marvin Harrison
15,Puka Nacua
16,Travis Etienne
17,Kyren Williams
18,Derrick Henry
19,Drake London
20,Josh Allen
21,Davante Adams
22,Chris Olave
23,De'Von Achane
24,Josh Jacobs
25,Travis Kelce
26,Brandon Aiyuk
27,Isiah Pacheco
28,Deebo Samuel
29,Mike Evans
30,Sam LaPorta
31,Jalen Hurts
32,Patrick Mahomes
33,Nico Collins
34,Stefon Diggs
35,Jaylen Waddle
36,Lamar Jackson
37,Rachaad White
38,DJ Moore
39,Cooper Kupp
40,James Cook
41,DK Metcalf
42,Malik Nabers
43,Joe Mixon
44,Michael Pittman
45,Kenneth Walker
46,C.J. Stroud
47,DeVonta Smith
48,Trey McBride
49,Mark Andrews
50,Alvin Kamara
51,Dalton Kincaid
52,Zay Flowers
53,Anthony Richardson
54,Tank Dell
55,Amari Cooper
56,Aaron Jones
57,Tee Higgins
58,George Kittle
59,James Conner
60,George Pickens
61,Kyle Pitts
62,Joe Burrow
63,David Montgomery
64,D'Andre Swift
65,Keenan Allen
66,Rhamondre Stevenson
67,Christian Kirk
68,Terry McLaurin
69,Najee Harris
70,Kyler Murray
71,Evan Engram
72,Rome Odunze
73,Zamir White
74,Jayden Reed
75,Raheem Mostert
76,Xavier Worthy
77,Dak Prescott
78,Tony Pollard
79,Chris Godwin
80,Calvin Ridley
81,Rashee Rice
82,Jordan Love
83,Brock Bowers
84,Jordan Addison
85,Jake Ferguson
86,Nick Chubb
87,David Njoku
88,Ladd McConkey
89,Zack Moss
90,Jonathon Brooks
91,Javonte Williams
92,Hollywood Brown
93,Jaylen Warren
94,Diontae Johnson
95,Austin Ekeler
96,Devin Singletary
97,Brock Purdy
98,Keon Coleman
99,Caleb Williams
100,Christian Watson
101,DeAndre Hopkins
102,Jaxon Smith-Njigba
103,Brian Robinson
104,Gus Edwards
105,Brian Thomas
106,Tua Tagovailoa
107,Dallas Goedert
108,Tyjae Spears
109,Trey Benson
110,Ezekiel Elliott
111,Jameson Williams
112,Jayden Daniels
113,Jared Goff
114,Courtland Sutton
115,Blake Corum
116,Jerome Ford
117,Chase Brown
118,Dalton Schultz
119,T.J. Hockenson
120,Curtis Samuel
121,Romeo Doubs
122,Tyler Lockett
123,Justin Herbert
124,Pat Freiermuth
125,Adonai Mitchell
126,Khalil Shakir
127,Trevor Lawrence
128,Zach Charbonnet
129,Cole Kmet
130,Chuba Hubbard
131,J.K. Dobbins
132,Jakobi Meyers
133,Joshua Palmer
134,Rico Dowdle
135,Mike Williams
136,Jerry Jeudy
137,Xavier Legette
138,Aaron Rodgers
139,Rashid Shaheed
140,Kirk Cousins
141,Ty Chandler
142,Luke Musgrave
143,Jaylen Wright
144,Tyler Allgeier
145,Gabe Davis
146,Brandin Cooks
147,Matthew Stafford
148,Ja'Lynn Polk
149,Taysom Hill
150,Dontayvion Wicks
151,Jahan Dotson
152,MarShawn Lloyd
153,Josh Downs
154,Kendre Miller
155,Antonio Gibson
156,Jaleel McLaughlin
157,Ricky Pearsall
158,Ben Sinnott
159,Baker Mayfield
160,Adam Thielen
161,Kimani Vidal
162,Darnell Mooney
163,Troy Franklin
164,Ray Davis
165,Deshaun Watson
166,Cade Otton
167,Braelon Allen
168,Isaiah Likely
169,Quentin Johnston
170,Hunter Henry
171,DeMario Douglas
172,Tyrone Tracy
173,Elijah Mitchell
174,Khalil Herbert
175,Bucky Irving
176,Roman Wilson
177,Michael Wilson
178,Tyler Conklin
179,Dameon Pierce
180,Will Levis
181,Jermaine Burton
182,Geno Smith
183,Luke McCaffrey
184,Rashod Bateman
185,Justin Fields
186,Marvin Mims
187,Chigoziem Okonkwo
188,Malachi Corley
189,Audric Estime
190,Bo Nix
191,Clyde Edwards-Helaire
192,Tank Bigsby
193,Noah Fant
194,Will Shipley
195,Demarcus Robinson
196,Drake Maye
197,Greg Dortch
198,Bryce Young
199,Alexander Mattison
200,J.J. McCarthy
201,Wan'Dale Robinson
202,Ja'Tavion Sanders
203,Mike Gesicki
204,AJ Dillon
205,Jalen McMillan
206,Roschon Johnson
207,Keaton Mitchell
208,Javon Baker
209,Jonnu Smith
210,Daniel Jones
211,DJ Chark
212,Isaac Guerendo
213,Tyler Boyd
214,Derek Carr
215,D'Onta Foreman
216,Russell Wilson
217,Odell Beckham
218,Juwan Johnson
219,Jordan Mason
220,Justice Hill
221,Sam Darnold
222,Jalen Tolbert
223,Dylan Laube
224,Trey Sermon
225,Theo Johnson
