Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Ja'Marr Chase","WR","1","1","1","","1"
"Saquon Barkley","RB","2","1","1","","1"
"Justin Jefferson","WR","3","2","1","","1"
"Bijan Robinson","RB","4","2","1","","1"
"CeeDee Lamb","WR","5","3","1","","1"
"Puka Nacua","WR","6","4","1","","1"
"Amon-Ra St. Brown","WR","7","5","1","","1"
"Jahmyr Gibbs","RB","8","3","1","","1"
"Nico Collins","WR","9","6","1","","1"
"Malik Nabers","WR","10","7","1","","1"
"Drake London","WR","11","8","1","","1"
"Brian Thomas","WR","12","9","1","","1"
"A.J. Brown","WR","13","10","1","","1"
"Derrick Henry","RB","14","4","1","","1"
"De'Von Achane","RB","15","5","1","","1"
"Brock Bowers","TE","16","1","1","","1"
"Tyreek Hill","WR","17","11","1","","1"
"Jaxon Smith-Njigba","WR","18","12","1","","1"
"Trey McBride","TE","19","2","1","","1"
"Ladd McConkey","WR","20","13","1","","1"
"Tee Higgins","WR","21","14","1","","1"
"Josh Allen","QB","22","1","1","","1"
"Bucky Irving","RB","23","6","1","","1"
"Lamar Jackson","QB","24","2","1","","1"
"Garrett Wilson","WR","25","15","1","","1"
"Josh Jacobs","RB","26","7","1","","1"
"Terry McLaurin","WR","27","16","1","","1"
"Christian McCaffrey","RB","28","8","1","","1"
"Jonathan Taylor","RB","29","9","1","","1"
"Mike Evans","WR","30","17","1","","1"
"Jayden Daniels","QB","31","3","1","","1"
"Breece Hall","RB","32","10","1","","1"
"Chase Brown","RB","33","11","1","","1"
"Davante Adams","WR","34","18","1","","1"
"Marvin Harrison","WR","35","19","1","","1"
"DJ Moore","WR","36","20","1","","1"
"Ashton Jeanty","RB","37","12","1","","1"
"Kyren Williams","RB","38","13","1","","1"
"T.J. Hockenson","TE","39","3","1","","1"
"Jalen Hurts","QB","40","4","1","","1"
"James Cook","RB","41","14","1","","1"
"Kenneth Walker","RB","42","15","1","","1"
"Zay Flowers","WR","43","21","1","","1"
"Rashee Rice","WR","44","22","1","","1"
"Courtland Sutton","WR","45","23","1","","1"
"Chris Olave","WR","46","24","1","","1"
"Alvin Kamara","RB","47","16","1","","1"
"Joe Burrow","QB","48","5","1","","1"
"DK Metcalf","WR","49","25","1","","1"
"Chuba Hubbard","RB","50","17","1","","1"
"Jaylen Waddle","WR","51","26","1","","1"
"Joe Mixon","RB","52","18","1","","1"
"George Kittle","TE","53","4","1","","1"
"James Conner","RB","54","19","1","","1"
"DeVonta Smith","WR","55","27","1","","1"
"Chris Godwin","WR","56","28","1","","1"
"Jordan Addison","WR","57","29","1","","1"
"Jameson Williams","WR","58","30","1","","1"
"George Pickens","WR","59","31","1","","1"
"David Montgomery","RB","60","20","1","","1"
"Baker Mayfield","QB","61","6","1","","1"
"Omarion Hampton","RB","62","21","1","","1"
"Patrick Mahomes","QB","63","7","1","","1"
"Jerry Jeudy","WR","64","32","1","","1"
"Xavier Worthy","WR","65","33","1","","1"
"Sam LaPorta","TE","66","5","1","","1"
"Isiah Pacheco","RB","67","22","1","","1"
"Tyrone Tracy","RB","68","23","1","","1"
