Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Ja'Marr Chase","WR","1","1","1","","1"
"Justin Jefferson","WR","2","2","1","","1"
"Brock Bowers","TE","3","1","1","","1"
"Bijan Robinson","RB","4","1","1","","1"
"Jahmyr Gibbs","RB","5","2","1","","1"
"Josh Allen","QB","6","1","1","","1"
"Malik Nabers","WR","7","3","1","","1"
"CeeDee Lamb","WR","8","4","1","","1"
"Jayden Daniels","QB","9","2","1","","1"
"Amon-Ra St. Brown","WR","10","5","1","","1"
"Puka Nacua","WR","11","6","1","","1"
"Brian Thomas","WR","12","7","1","","1"
"Lamar Jackson","QB","13","3","1","","1"
"Trey McBride","TE","14","2","1","","1"
"Nico Collins","WR","15","8","1","","1"
"Ashton Jeanty","RB","16","3","1","","1"
"Saquon Barkley","RB","17","4","1","","1"
"Drake London","WR","18","9","1","","1"
"Marvin Harrison","WR","19","10","1","","1"
"Ladd McConkey","WR","20","11","1","","1"
"Joe Burrow","QB","21","4","1","","1"
"De'Von Achane","RB","22","5","1","","1"
"Omarion Hampton","RB","23","6","1","","1"
"Travis Hunter","WR","24","12","1","","1"
"Jalen Hurts","QB","25","5","1","","1"
"Garrett Wilson","WR","26","13","1","","1"
"Tetairoa McMillan","WR","27","14","1","","1"
"Jaxon Smith-Njigba","WR","28","15","1","","1"
"A.J. Brown","WR","29","16","1","","1"
"Breece Hall","RB","30","7","1","","1"
"Rashee Rice","WR","31","17","1","","1"
"Sam LaPorta","TE","32","3","1","","1"
"Bucky Irving","RB","33","8","1","","1"
"Jonathan Taylor","RB","34","9","1","","1"
"TreVeyon Henderson","RB","35","10","1","","1"
"Kyren Williams","RB","36","11","1","","1"
"Tee Higgins","WR","37","18","1","","1"
"Rome Odunze","WR","38","19","1","","1"
"James Cook","RB","39","12","1","","1"
"Quinshon Judkins","RB","40","13","1","","1"
"Patrick Mahomes","QB","41","6","1","","1"
"Josh Jacobs","RB","42","14","1","","1"
"Christian McCaffrey","RB","43","15","1","","1"
"Justin Herbert","QB","44","7","1","","1"
"DeVonta Smith","WR","45","20","1","","1"
"Caleb Williams","QB","46","8","1","","1"
"Chase Brown","RB","47","16","1","","1"
"Drake Maye","QB","48","9","1","","1"
"Chris Olave","WR","49","21","1","","1"
"C.J. Stroud","QB","50","10","1","","1"
"Xavier Worthy","WR","51","22","1","","1"
"Zay Flowers","WR","52","23","1","","1"
"Bo Nix","QB","53","11","1","","1"
"Emeka Egbuka","WR","54","24","1","","1"
"DJ Moore","WR","55","25","1","","1"
"Kenneth Walker","RB","56","17","1","","1"
"Tyler Warren","TE","57","4","1","","1"
"Derrick Henry","RB","58","18","1","","1"
"Jordan Addison","WR","59","26","1","","1"
"T.J. Hockenson","TE","60","5","1","","1"
"Terry McLaurin","WR","61","27","1","","1"
"Jaylen Waddle","WR","62","28","1","","1"
"Kaleb Johnson","RB","63","19","1","","1"
"Jordan Love","QB","64","12","1","","1"
"Colston Loveland","TE","65","6","1","","1"
"Tyreek Hill","WR","66","29","1","","1"
"George Pickens","WR","67","30","1","","1"
"RJ Harvey","RB","68","20","1","","1"
"George Kittle","TE","69","7","1","","1"
"Matthew Golden","WR","70","31","1","","1"
"Chuba Hubbard","RB","71","21","1","","1"
"DK Metcalf","WR","72","32","1","","1"
"Jameson Williams","WR","73","33","1","","1"
"Brandon Aiyuk","WR","74","34","1","","1"
"Joe Mixon","RB","75","22","1","","1"
"Kyler Murray","QB","76","13","1","","1"
"Dalton Kincaid","TE","77","8","1","","1"
"Mark Andrews","TE","78","9","1","","1"
"Jerry Jeudy","WR","79","35","1","","1"
"Mike Evans","WR","80","36","1","","1"
"Baker Mayfield","QB","81","14","1","","1"
"Luther Burden","WR","82","37","1","","1"
"Jayden Reed","WR","83","38","1","","1"
"Tre Harris","WR","84","39","1","","1"
"David Montgomery","RB","85","23","1","","1"
"Tyrone Tracy","RB","86","24","1","","1"
"Alvin Kamara","RB","87","25","1","","1"
"Michael Penix","QB","88","15","1","","1"
"Jalen McMillan","WR","89","40","1","","1"
"Kyle Pitts","TE","90","10","1","","1"
"J.J. McCarthy","QB","91","16","1","","1"
"Brock Purdy","QB","92","17","1","","1"
"Josh Downs","WR","93","41","1","","1"
"Cameron Ward","QB","94","18","1","","1"
"David Njoku","TE","95","11","1","","1"
"Chris Godwin","WR","96","42","1","","1"
"Travis Etienne","RB","97","26","1","","1"
"Jayden Higgins","WR","98","43","1","","1"
"Isiah Pacheco","RB","99","27","1","","1"
"Ricky Pearsall","WR","100","44","1","","1"
"Tucker Kraft","TE","101","12","1","","1"
"Michael Pittman","WR","102","45","1","","1"
"Keon Coleman","WR","103","46","1","","1"
"Trevor Lawrence","QB","104","19","1","","1"
"Courtland Sutton","WR","105","47","1","","1"
"Cam Skattebo","RB","106","28","1","","1"
"Khalil Shakir","WR","107","48","1","","1"
"Brian Robinson","RB","108","29","1","","1"
"James Conner","RB","109","30","1","","1"
"D'Andre Swift","RB","110","31","1","","1"
"Davante Adams","WR","111","49","1","","1"
"Zach Charbonnet","RB","112","32","1","","1"
"Bryce Young","QB","113","20","1","","1"
"Jake Ferguson","TE","114","13","1","","1"
"Jared Goff","QB","115","21","1","","1"
"Rhamondre Stevenson","RB","116","33","1","","1"
"Isaiah Likely","TE","117","14","1","","1"
"Jonnu Smith","TE","118","15","1","","1"
"Anthony Richardson","QB","119","22","1","","1"
"Trey Benson","RB","120","34","1","","1"
"Najee Harris","RB","121","35","1","","1"
"Tony Pollard","RB","122","36","1","","1"
"Jack Bech","WR","123","50","1","","1"
"Dak Prescott","QB","124","23","1","","1"
"Deebo Samuel","WR","125","51","1","","1"
"Jaylin Noel","WR","126","52","1","","1"
"Jakobi Meyers","WR","127","53","1","","1"
"J.K. Dobbins","RB","128","37","1","","1"
"Cade Otton","TE","129","16","1","","1"
"Xavier Legette","WR","130","54","1","","1"
"Evan Engram","TE","131","17","1","","1"
"Cooper Kupp","WR","132","55","1","","1"
"Tua Tagovailoa","QB","133","24","1","","1"
"Tyjae Spears","RB","134","38","1","","1"
"Mason Taylor","TE","135","18","1","","1"
"Travis Kelce","TE","136","19","1","","1"
"Pat Freiermuth","TE","137","20","1","","1"
"Cole Kmet","TE","138","21","1","","1"
"Calvin Ridley","WR","139","56","1","","1"
"Bhayshul Tuten","RB","140","39","1","","1"
"Sam Darnold","QB","141","25","1","","1"
"Dylan Sampson","RB","142","40","1","","1"
"Aaron Jones","RB","143","41","1","","1"
"Justin Fields","QB","144","26","1","","1"
"Rachaad White","RB","145","42","1","","1"
"Rashid Shaheed","WR","146","57","1","","1"
"Tank Bigsby","RB","147","43","1","","1"
"Tank Dell","WR","148","58","1","","1"
"Elijah Arroyo","TE","149","22","1","","1"
"Jauan Jennings","WR","150","59","1","","1"
"Jaylen Warren","RB","151","44","1","","1"
"Marvin Mims","WR","152","60","1","","1"
"Jonathon Brooks","RB","153","45","1","","1"
